52.2291696 5.1668974,"Hilversum, Noord Holland, Netherlands"
,"D\\u00fcsseldorf, , Germany"
,"G\\u00f6teborg, , Sweden"
38.831667 -78.316667,"Bentonville, VA, United States"
36.3131076 -86.8652772,"Joelton, TN, United States"
,"Jyv\\u00e4skyl\\u00e4, , Finland"
-36.9279095 149.6491043,"Wyndham, New South Wales, Australia"
-42.8716603 147.3030172,"Mt Stuart, Tasmania, Australia"
,"Tiller, S\\u00f8r-Tr\\u00f8ndelag, Norway"
28.0870967 30.7618397,"Minia, Al Minya, Egypt"
46.2856907 -119.2844621,"Richland, Washington, United States"
43.4230306 -91.1990204,"De Soto, WI USA, United States"
44.3580348 -89.0859464,"waupaca, WI, United States"
,"Br\\u00fcttisellen, , Switzerland"
,"\\u00c5gotnes, , Norway"
45.926552 -116.1223654,"Grangeville, ID 83530, United States"
,"Str\\u00e4ngn\\u00e4s, , Sweden"
50.983953 -1.379259,"Chandler's Ford, Hampshire, United Kingdom"
66.2464147 12.9318196,"NESNA, , Norway"
51.752921 19.449984,", PL, Poland"
54.515483 -108.413915,"Waterhen Lake First Nation, Saskatchewan, Canada"
,"\\u5e03\\u65bd\\u611b\\u8a9e, \\u5229\\u884c\\u540c\\u4e8b, Taiwan"
35.5174913 -86.5804473,"http:\\\/\\\/KivaFriends.org, TN, United States"
39.79 -75.238056,"Mickleton, NJ, United States"
32.184781 34.871326,"Ra'anana, default, Israel"
40.3117706 -75.3251759,"Souderton, pa, United States"
,"http:\\\/\\\/KivaFriends.org, Monarch Beach, CA  USA, United States"
49.171634 -122.910981,"north delta, bc, Canada"
42.5835951 -82.8293423,"Harrison Township, Michigan, United States"
-34.6166667 -58.45,"Caballito, Distrito Federal, Argentina"
,"Link\\u00f6ping, , Sweden"
31.5965535 130.5571158,"Kagoshima-shi, Kagoshima, Japan"
,"Lund, Sk\\u00e5ne, Sweden"
35.1401218 -103.9065427,", AZ\\\/NM, United States"
29.561618 -98.2269553,"Cibolo, Texas, United States"
31.230393 121.473704,"New York \\\/ Shanghai, , China"
47.2725999 11.1957771,"Inzing, Tyrol, Austria"
53.2550728 7.926366,"Westerstede, , Germany"
,"H\\u00f6rby, , Sweden"
-33.8938118 151.2630738,"Bondi , New South Wales, Australia"
37.38264 -5.9962951,"Seville, Andalucia, Spain"
34.2793576 -118.5021527,"Granada Hills, California, United States"
45.253783 -69.4454689,", Maine , United States"
53.54544 -2.637474,"Wigan, , United Kingdom"
51.628611 -0.748229,"High Wycombe , Bucks, United Kingdom"
-32.2217513 116.0081156,"Byford, WA, Australia"
50.0755381 14.4378005,"Prague, cesko, Czech Republic"
33.3528264 -111.789027,"http:\\\/\\\/KivaFriends.org, Gilbert, AZ, United States"
,"SEA\\\/HKG, , "
35.6894875 139.6917064,"shibuya-ku, \\u001a\\u001a\\u001a - Tokyo, Japan"
39.8253609 -7.4910995,"Castelo Branco, Castelo Branco, Portugal"
35.6894875 139.6917064,"Tokyo, \\u001a\\u001a\\u001a, Japan"
30.6485191 -91.1564961,"Zachary, LA, United States"
,"V\\u00f8yenenga, , Norway"
52.2399885 4.4500094,"Barneveld\\\/Noordwijk, , Netherlands"
43.6971294 -114.3517172,"sun valley, ID, United States"
,"Qu\\u00e9bec, qc, Canada"
36.1881365 -94.5404962,"Siloam Springs, Arkansas, United States"
,"\\u001aSTANBUL, , Turkey"
-31.4823417 118.2812988,"Merredin, Western Australia, Australia"
50.768035 0.290472,"eastbourne, east sussex, United Kingdom"
32.6098566 -85.4807825,"http:\\\/\\\/kivafriends.org, Auburn, AL, United States"
50.63932 4.72389,"Tourinnes St Lambert, , Belgium"
39.0997265 -94.5785667,"Kansas City, mo, United States"
,"Yl\\u00f6j\\u00e4rvi, , Finland"
-22.9046891 -47.0573811,"Campinas, S\\u00e3o Paulo, Brazil"
,", B\\u00e9arn, France"
34.1477849 -118.1445155,"Pasadena , CA , United States"
49.0570032 20.3047448,"Poprad, , Slovakia"
48.7131896 9.4197264,"Plochingen, , Germany"
50.1109221 8.6821267,"Frankfurt am Main,, , Germany"
51.934731 1.260297,"Harwich, England, United Kingdom"
-34.6037232 -58.3815931,"Ciudad de Buenos Aires, Buenos Aires, Argentina"
50.3851246 3.2642436,"la chapelle d'armenti\\u00e8res, Nord, France"
26.4061111 -99.0055556,"Roma, TX, United States"
26.820553 30.802498,"Egypt, Egypt, Egypt"
52.4608009 -1.914995,"Edgbaston, , United Kingdom"
50.6520515 9.1624376,"Bruchk\\u00f6bel, Hessen, Germany"
49.7915953 9.9535715,"Wuerzburg, Bavara, Germany"
33.8886289 35.4954794,"Beirut & Baghdad,, South, Lebanon"
4.174199 73.510915,"Male, MV, Maldives"
60.0000202 11.3690301,"B\\u00e6rums Verk, Akershus, Norway"
51.5661671 0.5792812,"Benfleet, Essex, United Kingdom"
,"D\\u00fclmen, , Germany"
41.5122222 -72.9036111,"cheshire, CT, United States"
40.7920449 -73.8095574,"Whitestone, New York, United States"
40.7143528 -74.0059731,"to say, NY, United States"
45.3319785 7.7231702,"rivarolo canavese, Torino, Italy"
42.4828221 -83.4183823,"Farmington Hills, Michigan, United States"
60.2054791 24.6558839,"Esbo, Finland, Finland"
51.045113 -114.057141,"http:\\\/\\\/kivafriends.org, Calgary, Canada, "
-33.4652738 151.4339404,"Avoca Beach, NSW, Australia"
56.6634447 16.356779,"Kalmar, Sm\\u00e5land, Sweden"
,"K\\u00f6ln, , Germany"
47.5605413 -52.7128315,"St. John\\, Newfoundland, Canada"
38.9753903 -76.2893991,"Chester, Maryland, United States"
,"KIRYAT-UNO, ISRAEL, Israel"
27.8502778 -82.1747222,"Lithia, Fl, United States"
51.0764281 -114.090292,"Calgary, Ab.     T2K 1L7, Canada"
34.8761989 -83.9582412,"Blairsville, Ga, United States"
48.957772 1.730403,"Ch\\u00e2tillon, Hts de seine, France"
-3.1064093 -60.0264297,"Manaus, AM, Brazil"
48.0443056 14.3957552,"Steyr, O\\u00d6, Austria"
40.718106 -73.8448469,"Forest Hills,  NY, United States"
62.5666743 25.5549445,"Jyv\\u00e4skyl\\u00e4, Keski-Suomi, Finland"
41.4666667 -71.8666667,"N. Stonington, CT, United States"
48.7904472 11.4978895,"M\\u00fcnchen, Bayern, Germany"
,"Sch\\u00f6nenberg, , Switzerland"
15.352029 44.207456,"Sanaa'a, Yemen, Yemen"
-38.043255 145.292831,"Narre Warren South, Victoria, Australia"
,"Orl\\u00e9ans, , France"
,"Mauer, Baden-W\\u00fcrttemberg, Germany"
29.7601927 -95.3693896,"houston, Texas, United States"
-24.8155065 152.4622581,"Bargara, Queensland, Australia"
49.1064222 8.5933513,"76646 Bruchsal, Baden-W\\u00fcrttemberg, Germany"
51.0465707 3.9466434,"OVERMERE, , Belgium"
52.0278426 5.1630019,"Houten, Utrecht http:\\\/\\\/www.kivafriends.org, Netherlands"
-4.3488889 15.2527778,"Kinshasa, Ngaliema, The Democratic Republic of the Congo"
52.383626 4.635956,"HAARLEM, , Netherlands"
34.7687667 137.998168,"Kakegawa, Shizuoka, Japan"
-34.9287264 138.5999453,"Adelaide, SOUTH AUSTRALIA, Australia"
44.333333 -93.966666,"Saint Peter, MN, United States"
40.3667541 -96.1957864,"Tecumseh, Nebraska, United States"
29.7807878 -96.1571833,"Sealy, TX, United States"
40.8940853 -73.9109977,"Riverdale, New York, United States"
29.703325 -95.790078,"7th heaven, , "
,"norrk\\u00f6ping, sweden, Sweden"
,"K\\u00f8benhavn V, , Denmark"
-27.7284203 153.2079252,"Mt Warren Park, QLD, Australia"
,"M\\u00fcnster, , Germany"
,"Rad\\u00f8y, , Norway"
-15.7861111 35.0058333,"Blantyre, Blantyre, Malawi"
21.543489 39.172989,"Jeddah , NA, Saudi Arabia"
50.826636 -4.543678,"Bude, Cornwall, United Kingdom"
60.0000202 11.3690301,"Str\\u00f8mmen, Akershus, Norway"
26.2378597 -80.1247667,"Pompano Beach, FL, "
59.3282641 18.0702567,"Stockholm, Stockholms L\\u00e4n, Sweden"
45.6669011 12.243039,", Treviso, Italy"
25.6732109 -100.309201,"Monterrey, Nuevo Le\\u00f3n, Mexico"
43.0361995 -70.8328322,"Greenland, NH, United States"
46.0018022 8.7464,"Luino, Varese, Italy"
43.8384117 -79.0867579,"PICKERING, ON, Canada"
31.7311292 -106.4625624,"Ciudad Juarez, Chihuahua, "
40.3014581 -79.5389289,"Greensburg, Pennsylvania, United States"
51.5073346 -0.1276831,"London, n\\\/a, United Kingdom"
-33.9194489 150.9533666,"Chipping Norton, NSW, Australia"
34.9245935 -80.7434019,"waxhaw, nc, United States"
49.99129 -117.372071,"New Denver, British Columbia, Canada"
35.6067683 -77.1510931,"Little Washington, North Carolina, United States"
46.780764 4.853947,"Chalon s\\\/s, , France"
,"Set\\u00fabal, , Portugal"
25.7889689 -80.2264393,"Miami, Fl., United States"
51.697928 5.317006,"http:\\\/\\\/KivaFriends.org, s hertogenbosch, Netherlands"
,"Z\\u00fcrich, , Switzerland"
51.145276 0.324949,"Pembury, Kent, United Kingdom"
60.5551857 5.2694442,"Isdalsto, Hordaland, Norway"
32.6098566 -85.4807825,"auburn, AL, United States"
,"V\\u00e4stra Fr\\u00f6lunda, , Sweden"
46.665787 -71.2328129,"Breakeyville, Quebec, Canada"
34.7732102 -80.3917315,"Pageland, SC, United States"
41.6619927 -86.1586156,"MISHAWAKA, IN, United States"
36.5613254 136.6562051,"Kanazawa, Ishikawa, Japan"
-37.8920318 145.0541686,"Chadstone Centre, Victoria, Australia"
51.481581 -3.17909,"Cardiff, S. Glamorgan, United Kingdom"
34.3807012 -81.0864776,"Winnsboro, SC, United States"
61.7113889 -148.8941667,"Sutton, AK, United States"
49.5997267 8.466599,"Lampertheim, Hessen, Germany"
44.337945 1.546262,"Lalbenque, , France"
36.120556 -84.653889,"Lancing, Tennessee, United States"
61.279677 12.288407,"Trysil, , Norway"
,"Trollh\\u00e4ttan, , Sweden"
,"k\\u00f8benhavn, k\\u00f8benhavn, Denmark"
38.8048355 -77.0469214,"http:\\\/\\\/KivaFriends.org Alexandria, VA, United States"
47.9789848 -122.2020794,"Everett, Washington, "
36.8917157 -86.0374815,"Lucas, Kentucky, United States"
53.773609 -78.893467,"chisasibi, quebec, Canada"
,"H\\u00e4sselby, Stockholms L\\u00e4n, Sweden"
,"N\\u00e6stved, , Denmark"
40.2087167 -5.0911407,"arenas de san pedro, avila, Spain"
,"Norrk\\u00f6ping, , Sweden"
,"k\\u00f6ln, , Germany"
51.272516 -0.610407,"http:\\\/\\\/KivaFriends.org, Worplesdon, Surrey, United Kingdom"
,"\\u001a\\u001a\\u001a\\u001a, \\u001a\\u001a\\u001a, Japan"
3.139003 101.686855,"KL, , Malaysia"
41.223 -111.9738304,"ogden, ut, United States"
,"\\u00c5rhus C, , Denmark"
,"Sikn\\u00e4s, T\\u00f6re, Sweden"
,"V Fr\\u00f6lunda, , Sweden"
52.4742684 -0.654943,"Little Stanion, Northants, United Kingdom"
25.329167 55.516111,"SHJ, SHJ, United Arab Emirates"
-27.4796746 153.0459021,"EAST BRISBANE, QLD, Australia"
61.2100257 17.0853477,"Malm\\u00f6, , Sweden"
-37.3209306 145.7136937,"Taggerty, , Australia"
42.5834228 -71.8022955,"fitchburg, MA, United States"
51.2843847 12.7576024,"Trebsen, , Germany"
54.2090768 9.588941,"L\\u00fcbeck, Schleswig-Holstein, Germany"
,"Ach\\u00e8res, , France"
,"M\\u00fclheim an der Ruhr (near D\\u00fcsseldorf), NRW, Germany"
38.2050442 -87.5741876,"Haubstadt, IN, United States"
,"Covilh\\u00e3,  , Portugal"
45.4432986 -93.589962,"Zimmerman, Minnesota, United States"
36.8885646 -121.6430011,"AROMAS, CA, United States"
40.5578178 -90.6734649,"Good Hope, IL, Belize"
39.8789527 -82.9507363,"Obetz, Ohio, United States"
,"n\\u00fcrnberg, , Germany"
40.425371 -3.696583,", Espa\\u00f1a, Spain"
20.6786652 -101.3544964,"Irapuato, Guanajuato, Mexico"
,", Qu\\u00e9bec, Canada"
45.5010497 -73.5554797,"Montr\\u00e9al, Quebec, Canada"
,"Wroc\\u0142aw, , Poland"
,", \\u0141\\u00f3dzkie, Poland"
,"Lichtenau, Baden-W\\u00fcrttemberg, Germany"
,"Str\\u00f8mmen, , Norway"
14.6760413 121.0437003,"Quezon City, NCR, Philippines"
40.7143528 -74.0059731,"http:\\\/\\\/www.kivafriends.org, New York, NY, United States"
-34.6205556 -58.3716667,"Buenos Aires, San Telmo, Argentina"
31.1435194 -93.260998,"Leesville, LA, United States"
43.419329 -93.5325269,"Lake Mills, IA, United States"
,"N\\u00fcrnberg, Bavaria, Germany"
-15.826691 -47.9218204,"Bras\\u00edlia, DF, Brazil"
51.070289 4.533784,"Sint-Katelijne-Waver, Antwerpen, Belgium"
37.0831102 -88.7442202,"West Paducah, KY, United States"
,"RC Limburgerhof\\\/Vorderpfalz, , Germany"
48.917402 2.269675,"Bois-Colombes, Ile-de-France, France"
-36.8464363 145.1615607,"Tabilk, Victoria, Australia"
-23.5489433 -46.6388182,"S\\u00e3o Jos\\u00e9 dos Campos, Sao Paulo, Brazil"
,"Cr\\u00e9teil, , France"
46.2180073 6.1216925,"Gen\\u00e8ve, GE, Switzerland"
,"http:\\\/\\\/www.kivafriends.org, Malcantone, Switzerland"
,", Earth      \\u9280\\u6cb3\\u7cfb, "
40.615537 -80.2621852,"aliquippa, pennsylvania, United States"
42.2727935 -8.6635309,"MOA\\u00d1A, Pontevedra, Spain"
47.49995 8.7375646,"Winterthur, Z\\u00fcrich, Switzerland"
42.5916684 -83.6003703,"Milford, Michigan, United States"
41.90609 -91.252663,"Mechancisville, Iowa, United States"
,"D\\u00e4nikon, , Switzerland"
,"Cd. de M\\u00e9xico, , Mexico"
-6.589166 106.792999,"Bogor, , Indonesia"
35.6072668 140.1062907,"\\u001a\\u001a\\u001aMobara, Chiba, Japan"
-25.9666667 32.5833333,"Maputo, , Mozambique"
-27.678487 153.0516764,"HERITAGE PARK, QLD, Australia"
52.518537 5.471422,"Lelystad, flevoland, Netherlands"
45.0163884 -75.645947,"Kemptville , Ontario, Canada"
4.047486 9.706374,"Douala, Littoral, Cameroon"
39.9547861 -82.8121191,"reynoldsburg, OH, United States"
46.76181 15.77172,"St.Peter\\\/Au, , Austria"
47.7881528 -122.3087405,"Mountlake Terrace, WA, , United States"
34.2163937 -119.0376023,"camarillo, CA, United States"
37.2635727 127.0286009,"Suwon, Kyunggi-do, Korea, Republic of"
